127.0.0.1 - - [16/Jul/2021:17:44:48 +0200] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [16/Jul/2021:17:45:06 +0200] "GET /ProgrammaBiennale2020 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jul/2021:17:45:08 +0200] "GET /ProgrammaBiennale2020/ HTTP/1.1" 200 1110
0:0:0:0:0:0:0:1 - - [16/Jul/2021:17:45:09 +0200] "GET /ProgrammaBiennale2020/naviox/images/Regione_Marchebig.png HTTP/1.1" 200 133466
0:0:0:0:0:0:0:1 - - [16/Jul/2021:17:45:15 +0200] "GET /ProgrammaBiennale2020/m/SignIn HTTP/1.1" 200 8051
0:0:0:0:0:0:0:1 - - [16/Jul/2021:17:45:15 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Modules.js?ox=6.1.2 HTTP/1.1" 200 985
0:0:0:0:0:0:0:1 - - [16/Jul/2021:17:45:15 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Folders.js?ox=6.1.2 HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [16/Jul/2021:17:45:15 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Module.js?ox=6.1.2 HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [16/Jul/2021:17:45:15 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Tab.js?ox=6.1.2 HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [16/Jul/2021:17:45:15 +0200] "GET /ProgrammaBiennale2020/dwr/util.js?ox=6.1.2 HTTP/1.1" 200 46702
0:0:0:0:0:0:0:1 - - [16/Jul/2021:17:45:15 +0200] "GET /ProgrammaBiennale2020/dwr/interface/View.js?ox=6.1.2 HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [16/Jul/2021:17:45:15 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.getStrokeActions.dwr HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [16/Jul/2021:17:45:16 +0200] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [16/Jul/2021:17:45:19 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 6139
