127.0.0.1 - - [03/Mar/2020:10:01:24 +0100] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [03/Mar/2020:10:04:31 +0100] "GET /ProgrammaBiennale2020/ HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [03/Mar/2020:10:04:31 +0100] "GET /ProgrammaBiennale2020/naviox/images/Regione_Marchebig.png HTTP/1.1" 200 133466
0:0:0:0:0:0:0:1 - - [03/Mar/2020:10:04:31 +0100] "GET /ProgrammaBiennale2020/xava/style/terra.css?ox=6.1.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2020:10:04:32 +0100] "GET /ProgrammaBiennale2020/xava/fonts/roboto-regular-webfont.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2020:10:04:35 +0100] "GET /ProgrammaBiennale2020/m/SignIn HTTP/1.1" 200 8044
0:0:0:0:0:0:0:1 - - [03/Mar/2020:10:04:35 +0100] "GET /ProgrammaBiennale2020/xava/style/smoothness/jquery-ui.css?ox=6.1.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2020:10:04:35 +0100] "GET /ProgrammaBiennale2020/xava/style/yahoo-treeview/treeview.css?ox=6.1.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2020:10:04:35 +0100] "GET /ProgrammaBiennale2020/dwr/interface/Modules.js?ox=6.1.2 HTTP/1.1" 200 985
0:0:0:0:0:0:0:1 - - [03/Mar/2020:10:04:35 +0100] "GET /ProgrammaBiennale2020/xava/style/layout.css?ox=6.1.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2020:10:04:35 +0100] "GET /ProgrammaBiennale2020/dwr/interface/Folders.js?ox=6.1.2 HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [03/Mar/2020:10:04:35 +0100] "GET /ProgrammaBiennale2020/dwr/util.js?ox=6.1.2 HTTP/1.1" 200 46702
0:0:0:0:0:0:0:1 - - [03/Mar/2020:10:04:35 +0100] "GET /ProgrammaBiennale2020/dwr/interface/Module.js?ox=6.1.2 HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [03/Mar/2020:10:04:35 +0100] "GET /ProgrammaBiennale2020/dwr/interface/Tab.js?ox=6.1.2 HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [03/Mar/2020:10:04:35 +0100] "GET /ProgrammaBiennale2020/dwr/interface/View.js?ox=6.1.2 HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [03/Mar/2020:10:04:35 +0100] "GET /ProgrammaBiennale2020/xava/style/materialdesignicons.css?ox=6.1.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2020:10:04:35 +0100] "GET /ProgrammaBiennale2020/xava/editors/style/discussionEditor.css?ox=6.1.2 HTTP/1.1" 304 -
