0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:48:09 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Modules.js?ox=6.1.2 HTTP/1.1" 200 985
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:48:09 +0200] "GET /ProgrammaBiennale2020/xava/style/smoothness/jquery-ui.css?ox=6.1.2 HTTP/1.1" 200 35212
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:48:09 +0200] "GET /ProgrammaBiennale2020/xava/style/custom.css?ox=6.1.2 HTTP/1.1" 200 1133
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:48:09 +0200] "GET /ProgrammaBiennale2020/xava/editors/style/c3.css?ox=6.1.2 HTTP/1.1" 200 2003
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:48:09 +0200] "GET /ProgrammaBiennale2020/xava/editors/style/discussionEditor.css?ox=6.1.2 HTTP/1.1" 200 2691
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:48:09 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Folders.js?ox=6.1.2 HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:48:09 +0200] "GET /ProgrammaBiennale2020/dwr/util.js?ox=6.1.2 HTTP/1.1" 200 46702
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:48:09 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Module.js?ox=6.1.2 HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:48:09 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Tab.js?ox=6.1.2 HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:48:09 +0200] "GET /ProgrammaBiennale2020/dwr/interface/View.js?ox=6.1.2 HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:48:09 +0200] "GET /ProgrammaBiennale2020/xava/js/openxava.js?ox=6.1.2 HTTP/1.1" 200 40912
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:48:09 +0200] "GET /ProgrammaBiennale2020/xava/editors/calendar/calendar.js?ox=6.1.2 HTTP/1.1" 200 49465
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:48:09 +0200] "GET /ProgrammaBiennale2020/xava/editors/calendar/lang/calendar-it.js?ox=6.1.2 HTTP/1.1" 200 3633
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:48:09 +0200] "GET /ProgrammaBiennale2020/xava/js/calendar.js?ox=6.1.2 HTTP/1.1" 200 4793
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:48:09 +0200] "GET /ProgrammaBiennale2020/xava/js/jquery.js?ox=6.1.2 HTTP/1.1" 200 95931
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:48:09 +0200] "GET /ProgrammaBiennale2020/xava/js/jquery-ui.js?ox=6.1.2 HTTP/1.1" 200 239564
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:48:09 +0200] "GET /ProgrammaBiennale2020/xava/js/jquery.sorttable.js?ox=6.1.2 HTTP/1.1" 200 8889
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:48:09 +0200] "GET /ProgrammaBiennale2020/xava/js/jquery.ui.touch-punch.js?ox=6.1.2 HTTP/1.1" 200 1291
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:48:09 +0200] "GET /ProgrammaBiennale2020/xava/js/typewatch.js?ox=6.1.2 HTTP/1.1" 200 2283
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:48:09 +0200] "GET /ProgrammaBiennale2020/xava/editors/js/autoNumeric.js?ox=6.1.2 HTTP/1.1" 200 19587
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:48:10 +0200] "GET /ProgrammaBiennale2020/xava/editors/js/c3.js?ox=6.1.2 HTTP/1.1" 200 138210
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:48:10 +0200] "GET /ProgrammaBiennale2020/xava/editors/js/chartDataEditor.js?ox=6.1.2 HTTP/1.1" 200 2881
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:48:10 +0200] "GET /ProgrammaBiennale2020/xava/editors/js/ckeditor.js?ox=6.1.2 HTTP/1.1" 200 565399
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:48:10 +0200] "GET /ProgrammaBiennale2020/xava/editors/js/d3.js?ox=6.1.2 HTTP/1.1" 200 151125
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:48:10 +0200] "GET /ProgrammaBiennale2020/xava/editors/js/descriptionsEditor.js?ox=6.1.2 HTTP/1.1" 200 2198
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:48:10 +0200] "GET /ProgrammaBiennale2020/xava/editors/js/discussionEditor.js?ox=6.1.2 HTTP/1.1" 200 1024
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:48:10 +0200] "GET /ProgrammaBiennale2020/xava/editors/js/elementCollectionEditor.js?ox=6.1.2 HTTP/1.1" 200 2910
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:48:10 +0200] "GET /ProgrammaBiennale2020/xava/editors/js/htmlEditor.js?ox=6.1.2 HTTP/1.1" 200 2092
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:48:10 +0200] "GET /ProgrammaBiennale2020/xava/editors/js/textEditor.js?ox=6.1.2 HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:48:10 +0200] "GET /ProgrammaBiennale2020/xava/editors/js/jquery-ckeditor-adapter.js?ox=6.1.2 HTTP/1.1" 200 3179
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:48:10 +0200] "GET /ProgrammaBiennale2020/xava/editors/js/yahoo-treeview-min.js?ox=6.1.2 HTTP/1.1" 200 34313
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:48:10 +0200] "GET /ProgrammaBiennale2020/xava/editors/js/yahoo-dom-event.js?ox=6.1.2 HTTP/1.1" 200 36989
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:48:10 +0200] "GET /ProgrammaBiennale2020/naviox/js/naviox.js?ox=6.1.2 HTTP/1.1" 200 3855
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:48:10 +0200] "GET /ProgrammaBiennale2020/xava/fonts/materialdesignicons-webfont.woff?v=1.9.32 HTTP/1.1" 200 135276
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:48:10 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.getStrokeActions.dwr HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:48:10 +0200] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:48:12 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 6139
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:48:15 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 639
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:48:15 +0200] "GET /ProgrammaBiennale2020/ HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:48:17 +0200] "GET /ProgrammaBiennale2020/m/FirstSteps HTTP/1.1" 200 13955
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:48:17 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Modules.js?ox=6.1.2 HTTP/1.1" 200 985
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:48:17 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Folders.js?ox=6.1.2 HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:48:17 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Module.js?ox=6.1.2 HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:48:17 +0200] "GET /ProgrammaBiennale2020/dwr/interface/View.js?ox=6.1.2 HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:48:17 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Tab.js?ox=6.1.2 HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:48:17 +0200] "GET /ProgrammaBiennale2020/xava/images/search.png HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:48:17 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.getStrokeActions.dwr HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:48:18 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 3542
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:48:26 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Folders.goFolder.dwr HTTP/1.1" 200 2188
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:48:26 +0200] "GET /ProgrammaBiennale2020/m/Cronoprogramma?init=true HTTP/1.1" 200 10617
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:48:27 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Folders.js?ox=6.1.2 HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:48:27 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Modules.js?ox=6.1.2 HTTP/1.1" 200 985
